,date,temp,weather,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
0,01-01-2021,13ʡC,Partly sunny,Algeria,2021-01-02 05:22:33,99897,2762,67395.0,29740.0,227.8098607597544,2.764847793227024
1,01-02-2021,10ʡC,Partly sunny,Algeria,2021-01-03 05:22:52,100159,2769,67611.0,29779.0,228.4073379964988,2.764604279196078
2,01-03-2021,10ʡC,Partly sunny,Algeria,2021-01-04 05:22:02,100408,2772,67808.0,29828.0,228.9751694161528,2.7607361963190185
3,01-04-2021,12ʡC,Scattered clouds,Algeria,2021-01-05 05:21:49,100645,2777,67999.0,29869.0,229.51563546618493,2.7592031397486214
4,01-05-2021,12ʡC,Overcast,Algeria,2021-01-06 05:22:16,100873,2782,68185.0,29906.0,230.0355774890007,2.7579233293349064
5,01-06-2021,11ʡC,Overcast,Algeria,2021-01-07 05:22:03,101120,2786,68383.0,29951.0,230.59884801371769,2.755142405063291
6,01-07-2021,15ʡC,Overcast,Algeria,2021-01-08 05:22:42,101382,2792,68589.0,30001.0,231.1963252504621,2.753940541713519
7,01-08-2021,15ʡC,Scattered clouds,Algeria,2021-01-09 05:22:18,101657,2798,68802.0,30057.0,231.8234483042969,2.752392850467749
8,01-09-2021,20ʡC,Scattered clouds,Algeria,2021-01-10 05:22:12,101913,2803,69011.0,30099.0,232.4072428562304,2.7503851324168656
9,01-10-2021,15ʡC,Scattered clouds,Algeria,2021-01-11 05:21:50,102144,2807,69212.0,30125.0,232.9340262214516,2.748081140350877
10,01-11-2021,12ʡC,Light rain Overcast,Algeria,2021-01-12 05:22:15,102369,2812,69403.0,30154.0,233.44712690186185,2.7469253387255907
11,01-12-2021,10ʡC,Overcast,Algeria,2021-01-13 05:22:15,102641,2816,69608.0,30217.0,234.0674086132912,2.743543028614297
12,01-13-2021,13ʡC,Scattered clouds,Algeria,2021-01-14 05:22:32,102860,2819,69791.0,30250.0,234.56682660889047,2.7406183161578843
13,01-14-2021,13ʡC,Partly sunny,Algeria,2021-01-15 05:22:24,103127,2822,69992.0,30313.0,235.17570608297729,2.7364317782927845
14,01-15-2021,14ʡC,Scattered clouds,Algeria,2021-01-16 05:22:40,103381,2827,70188.0,30366.0,235.75493973997385,2.734545032452772
15,01-16-2021,14ʡC,Partly sunny,Algeria,2021-01-17 05:22:17,103611,2831,70373.0,30407.0,236.2794426577265,2.732335369796643
16,01-17-2021,13ʡC,Sunny,Algeria,2021-01-18 05:22:34,103833,2836,70554.0,30443.0,236.78570199573133,2.731308928760606
17,01-18-2021,15ʡC,Scattered clouds,Algeria,2021-01-19 05:22:15,104092,2840,70747.0,30505.0,237.37633789007023,2.728355685355263
18,01-19-2021,14ʡC,Passing clouds,Algeria,2021-01-20 05:21:54,104341,2843,70933.0,30565.0,237.94416930972432,2.724719908760698
19,01-20-2021,18ʡC,Passing clouds,Algeria,2021-01-21 05:22:01,104606,2849,71127.0,30630.0,238.5484878888741,2.723553142267174
20,01-21-2021,17ʡC,Scattered clouds,Algeria,2021-01-22 05:22:10,104852,2853,71343.0,30656.0,239.1094779661227,2.720978140617251
21,01-22-2021,19ʡC,Overcast,Algeria,2021-01-23 05:22:03,105124,2856,71552.0,30716.0,239.72975967755204,2.716791598493208
22,01-23-2021,15ʡC,Scattered clouds,Algeria,2021-01-24 05:22:35,105369,2861,71755.0,30753.0,240.2884693073321,2.7152198464444
23,01-24-2021,18ʡC,Partly sunny,Algeria,2021-01-25 05:22:16,105596,2863,71945.0,30788.0,240.80613088267933,2.711276942308421
24,01-25-2021,17ʡC,Partly sunny,Algeria,2021-01-26 05:22:02,105854,2866,72143.0,30845.0,241.3944863295497,2.70750278685737
25,01-26-2021,15ʡC,Partly sunny,Algeria,2021-01-27 05:23:41,106097,2871,72336.0,30890.0,241.9486350643929,2.706014307661857
26,01-27-2021,17ʡC,Partly sunny,Algeria,2021-01-28 05:22:24,106359,2877,72538.0,30944.0,242.54611230113727,2.7049897046794347
27,01-28-2021,18ʡC,Passing clouds,Algeria,2021-01-29 05:22:23,106610,2881,72745.0,30984.0,243.11850461572823,2.702373135728356
28,01-29-2021,20ʡC,Scattered clouds,Algeria,2021-01-30 05:22:49,106887,2884,72956.0,31047.0,243.7501885645001,2.6981765790039947
29,01-30-2021,22ʡC,Partly sunny,Algeria,2021-01-31 05:22:42,107122,2888,73152.0,31082.0,244.2860937195952,2.695991486342675
30,01-31-2021,17ʡC,Scattered clouds,Algeria,2021-02-01 05:22:53,107339,2891,73344.0,31104.0,244.7809508202576,2.693336066108311
31,02-01-2021,27ʡC,Scattered clouds,Algeria,2021-02-02 05:22:49,107578,2894,73530.0,31154.0,245.32597776522667,2.690141106917771
32,02-02-2021,17ʡC,Partly sunny,Algeria,2021-02-03 05:22:52,107841,2898,73732.0,31211.0,245.9257354494396,2.687289620830668
33,02-03-2021,17ʡC,Partly sunny,Algeria,2021-02-04 05:22:26,108116,2900,73940.0,31276.0,246.5528585032744,2.682304191793999
34,02-04-2021,16ʡC,Overcast,Algeria,2021-02-05 05:22:38,108381,2904,74136.0,31341.0,247.15717708242423,2.679436432585048
35,02-05-2021,22ʡC,Partly sunny,Algeria,2021-02-06 05:23:55,108629,2909,74330.0,31390.0,247.7227280546097,2.677922101832844
